,0
2009-01-01,23.816
2009-01-02,13.331
2009-01-03,9.301
2009-01-04,4.632
2009-01-05,5.927
2009-01-06,22.439
2009-01-07,
2009-01-08,
2009-01-09,
2009-01-10,
2009-01-11,
2009-01-12,
2009-01-13,
2009-01-14,
2009-01-15,
2009-01-16,
2009-01-17,
2009-01-18,
2009-01-19,
2009-01-20,
2009-01-21,
2009-01-22,
2009-01-23,
2009-01-24,
2009-01-25,
2009-01-26,
2009-01-27,
2009-01-28,
2009-01-29,
2009-01-30,
2009-01-31,
2009-02-01,
2009-02-02,
2009-02-03,
2009-02-04,
2009-02-05,
2009-02-06,
2009-02-07,
2009-02-08,
2009-02-09,
2009-02-10,
2009-02-11,
2009-02-12,
2009-02-13,
2009-02-14,
2009-02-15,
2009-02-16,
2009-02-17,
2009-02-18,
2009-02-19,
2009-02-20,
2009-02-21,
2009-02-22,
2009-02-23,
2009-02-24,
2009-02-25,
2009-02-26,14.822
2009-02-27,11.736
2009-02-28,20.897
2009-03-01,37.131
2009-03-02,19.341
2009-03-03,28.511
2009-03-04,23.491
2009-03-05,37.341
2009-03-06,29.634
2009-03-07,20.713
2009-03-08,10.83
2009-03-09,7.524
2009-03-10,8.128
2009-03-11,7.665
2009-03-12,22.608
2009-03-13,14.088
2009-03-14,28.849
2009-03-15,10.366
2009-03-16,17.517
2009-03-17,12.237
2009-03-18,7.798
2009-03-19,13.928
2009-03-20,9.042
2009-03-21,27.912
2009-03-22,14.298
2009-03-23,8.351
2009-03-24,5.763
2009-03-25,8.57
2009-03-26,8.701
2009-03-27,8.733
2009-03-28,10.571
2009-03-29,5.943
2009-03-30,14.132
2009-03-31,32.681
2009-04-01,10.855
2009-04-02,
2009-04-03,
2009-04-04,
2009-04-05,
2009-04-06,
2009-04-07,
2009-04-08,
2009-04-09,
2009-04-10,
2009-04-11,
2009-04-12,
2009-04-13,
2009-04-14,
2009-04-15,
2009-04-16,
2009-04-17,
2009-04-18,
2009-04-19,
2009-04-20,
2009-04-21,
2009-04-22,
2009-04-23,
2009-04-24,
2009-04-25,
2009-04-26,
2009-04-27,
2009-04-28,
2009-04-29,
2009-04-30,11.061
2009-05-01,26.624
2009-05-02,22.056
2009-05-03,17.845
2009-05-04,5.262
2009-05-05,6.73
2009-05-06,9.197
2009-05-07,17.416
2009-05-08,14.848
2009-05-09,12.565
2009-05-10,6.488
2009-05-11,4.729
2009-05-12,5.009
2009-05-13,5.355
2009-05-14,8.856
2009-05-15,
2009-05-16,
2009-05-17,
2009-05-18,
2009-05-19,
2009-05-20,
2009-05-21,17.031
2009-05-22,14.329
2009-05-23,12.178
2009-05-24,14.62
2009-05-25,17.031
2009-05-26,13.469
2009-05-27,7.502
2009-05-28,5.382
2009-05-29,5.837
2009-05-30,7.54
2009-05-31,7.912
2009-06-01,9.35
2009-06-02,7.828
2009-06-03,6.506
