,0
2000-10-15,9.131126554819176
2001-10-15,15.136484610964878
2002-10-15,16.148291696734763
2003-10-15,16.87608900127647
2004-10-15,15.42974860905248
2005-10-15,11.503825083250364
2006-10-15,13.864313012595865
2007-10-15,14.935357258986494
2008-10-15,13.867311870617511
2009-10-15,12.61165011145689
2010-10-15,12.381114444801263
2011-10-15,12.825816857366357
2012-10-15,10.857547409462846
2013-10-15,11.487236040466353
2014-10-15,10.27545971693448
2015-10-15,
2016-10-15,12.558917403625811
2017-10-15,8.661960576928093
