,var,station_id,station_name,latitude,longitude,altitude,unit,freq
0,concno2,CY0002R,Agia Marina Xyliatou ; Cyprus Atmospheric Observatory,35.0381,33.0578,523.0,ug m-3,monthly
1,concno2,GR0001R,Aliartos,38.366667,23.083333,110.0,ug m-3,monthly
2,concno2,AM0001R,Amberd,40.38444444,44.260583333,2080.0,ug m-3,monthly
3,concno2,DK0008R,Anholt,56.716667,11.516667,40.0,ug m-3,monthly
4,concno2,KR0100R,Anmyeon-do,36.5383338928,126.330001831,92.0,ug m-3,monthly
5,concno2,SE0012R,Aspvreten,58.8,17.383333,20.0,ug m-3,monthly
6,concno2,GB0031R,Aston Hill,52.503889,-3.033056,370.0,ug m-3,monthly
7,concno2,ES0011R,Barcarrota,38.47278,-6.92361,393.0,ug m-3,monthly
8,concno2,CH0053R,Beromünster,47.18961391,8.175433684,797.0,ug m-3,monthly
9,concno2,NO0002R;NO0001R,Birkenes II,58.38853,8.252,219.0,ug m-3,monthly
10,concno2,SE0005R,Bredkälen,63.85,15.333333,404.0,ug m-3,monthly
11,concno2,DE0005R,Brotjacklriegel,48.819444,13.219167,1016.0,ug m-3,monthly
12,concno2,GB0033R,Bush,55.858611,-3.205,180.0,ug m-3,monthly
13,concno2,NL0644R,Cabauw Wielsekade,51.974444,4.923611,3.0,ug m-3,monthly
14,concno2,ES0010R,Cabo de Creus,42.31917,3.31583,76.0,ug m-3,monthly
15,concno2,ES0009R,Campisabalos,41.27417,-3.1425,1360.0,ug m-3,monthly
16,concno2,CV0001G,Cape Verde Atmospheric Observatory,16.86403,-24.86752,17.5,ug m-3,monthly
17,concno2,IT0014R,Capo Granitola,37.571111,12.659722,5.0,ug m-3,monthly
18,concno2,GB0053R,Charlton Mackrell,51.05625,-2.68345,54.0,ug m-3,monthly
19,concno2,CH0004R,Chaumont,47.049722,6.979444,1137.0,ug m-3,monthly
20,concno2,SK0002R,Chopok,48.933333,19.583333,2008.0,ug m-3,monthly
21,concno2,TR0001R,Cubuk II,40.5,33.0,1169.0,ug m-3,monthly
22,concno2,NL0091R,De Zilk,52.3,4.5,6.0,ug m-3,monthly
23,concno2,DE0004R,Deuselbach,49.764722,7.051944,480.0,ug m-3,monthly
24,concno2,PL0005R,Diabla Gora,54.15,22.066667,161.35,ug m-3,monthly
25,concno2,ES0017R,Doñana,37.05194,-6.55528,35.0,ug m-3,monthly
26,concno2,NL0007R,Eibergen,52.083333,6.566667,22.0,ug m-3,monthly
27,concno2,ES0014R,Els Torms,41.39389,0.73472,470.0,ug m-3,monthly
28,concno2,GB0002R,Eskdalemuir,55.313056,-3.204167,243.0,ug m-3,monthly
29,concno2,HU0003R,Farkasfa,46.91,16.32,314.0,ug m-3,monthly
30,concno2,MT0001R,Giordan Lighthouse,36.0722,14.2184,174.0,ug m-3,monthly
31,concno2,GB0016R,Glen Dye,56.9675,-2.588889,85.0,ug m-3,monthly
32,concno2,KR0101R,Gosan,33.293917,126.163111,80.5,ug m-3,monthly
33,concno2,SE0020R,Hallahus,56.0429,13.148,190.0,ug m-3,monthly
34,concno2,GB0014R,High Muffles,54.334444,-0.8075,267.0,ug m-3,monthly
35,concno2,SE0008R,Hoburgen,56.916667,18.15,58.0,ug m-3,monthly
36,concno2,DE0043G,Hohenpeissenberg,47.8014984131,11.009619,985.0,ug m-3,monthly
37,concno2,BE0013R,Houtem,51.01628,2.58232,6.0,ug m-3,monthly
38,concno2,NO0056R,Hurdal,60.372386,11.078142,300.0,ug m-3,monthly
39,concno2,FI0050R,Hyytiälä,61.85,24.283333,215.0,ug m-3,monthly
40,concno2,AT0002R,Illmitz,47.7666664124,16.7666664124,117.0,ug m-3,monthly
41,concno2,SI0008R,Iskrba,45.566667,14.866667,525.0,ug m-3,monthly
42,concno2,IT0004R,Ispra,45.8,8.633333,215.5,ug m-3,monthly
43,concno2,PL0002R,Jarczew,51.814408,21.972419,182.24,ug m-3,monthly
44,concno2,CH0001G,Jungfraujoch,46.5475,7.985,3578.0,ug m-3,monthly
45,concno2,HU0002R,K-puszta,46.966667,19.583333,128.0,ug m-3,monthly
46,concno2,RS0005R,Kamenicki vis,43.4,21.95,813.0,ug m-3,monthly
47,concno2,NO0055R,Karasjok,69.466667,25.216667,333.0,ug m-3,monthly
48,concno2,DK0005R,Keldsnor,54.746495,10.73616,10.0,ug m-3,monthly
49,concno2,NL0009R,Kollumerwaard,53.333889,6.277222,3.0,ug m-3,monthly
50,concno2,CZ0003R,Kosetice (NOAK),49.573394,15.080278,538.0,ug m-3,monthly
51,concno2,NO0039R,Kårvatn,62.783333,8.883333,210.0,ug m-3,monthly
52,concno2,FR0015R,La Tardière,46.65,-0.75,137.0,ug m-3,monthly
53,concno2,GB0037R,Ladybower Res.,53.398889,-1.753333,420.0,ug m-3,monthly
54,concno2,EE0009R,Lahemaa,59.5,25.9,32.0,ug m-3,monthly
55,concno2,IT0016R,Lamezia Terme,38.8763,16.2322,14.0,ug m-3,monthly
56,concno2,PL0004R,Leba,54.753894,17.534264,5.0,ug m-3,monthly
