,var,station_id,station_name,latitude,longitude,altitude,unit,freq
45,concNhno3,CA0013R,Longwoods,42.884722,-81.480556,239.0,ug N m-3,monthly
46,concNhno3,PH1034R,Los Banos,14.183333,121.25,35.0,ug N m-3,monthly
47,concNhno3,GB0006R,Lough Navar,54.443056,-7.87,126.0,ug N m-3,monthly
48,concNhno3,TH1046R,Mae Hia - Chiang Mai,18.766667,98.933333,350.0,ug N m-3,monthly
49,concNhno3,PH1033U,Metro Manila,14.633333,121.066667,54.0,ug N m-3,monthly
50,concNhno3,RU1038R,Mondy,51.666667,101.0,2000.0,ug N m-3,monthly
51,concNhno3,IT0001R,Montelibretti,42.1,12.633333,48.0,ug N m-3,monthly
52,concNhno3,DE0007R,Neuglobsow,53.166667,13.033333,65.5,ug N m-3,monthly
53,concNhno3,SE0022R,Norunda Stenen,60.0858,17.50528,45.0,ug N m-3,monthly
54,concNhno3,NO1665R,Ny-Ålesund - Nordpolhotellet,78.92472,11.92643,8.0,ug N m-3,monthly
55,concNhno3,NO1154R,Ny-Ålesund - Transformatorbua,78.92501,11.92659,8.0,ug N m-3,monthly
56,concNhno3,JP1018R,Ogasawara,27.083333,142.216667,230.0,ug N m-3,monthly
57,concNhno3,JP1023R,Oki,36.283333,133.183333,90.0,ug N m-3,monthly
58,concNhno3,NO0041R,Osen,61.25,11.783333,440.0,ug N m-3,monthly
59,concNhno3,FI0022R,Oulanka,66.320278,29.401667,310.0,ug N m-3,monthly
60,concNhno3,FI0036R,Pallas (Matorova),68.0,24.237222222,340.0,ug N m-3,monthly
61,concNhno3,TH1044R,Patumthani,14.033333,100.766667,2.0,ug N m-3,monthly
62,concNhno3,CH0002R,Payerne,46.813056,6.944722,489.0,ug N m-3,monthly
63,concNhno3,MY1029U,Petalling Jaya,3.1,101.65,87.0,ug N m-3,monthly
64,concNhno3,NO0043R,Prestebakke,59.0,11.533333,160.0,ug N m-3,monthly
65,concNhno3,RU1041R,Primorskaya,43.7,132.116667,84.0,ug N m-3,monthly
66,concNhno3,CH0005R,Rigi,47.0675,8.463889,1031.0,ug N m-3,monthly
67,concNhno3,JP1016R,Rishiri,45.116667,141.2,40.0,ug N m-3,monthly
68,concNhno3,LV0010R,Rucava,56.161944,21.173056,19.8,ug N m-3,monthly
69,concNhno3,SE0014R,Råö,57.394,11.914,5.0,ug N m-3,monthly
70,concNhno3,SE0002R,Rörvik,57.416667,11.933333,10.0,ug N m-3,monthly
71,concNhno3,JP1019R,Sado-seki,38.233333,138.4,136.0,ug N m-3,monthly
72,concNhno3,CA0003R,Saturna,48.783333,-123.133333,178.0,ug N m-3,monthly
73,concNhno3,DE0003R,Schauinsland,47.914722,7.908611,1208.5,ug N m-3,monthly
74,concNhno3,ID1014R,Serpong,-6.25,106.566667,46.0,ug N m-3,monthly
75,concNhno3,NO0008R,Skreådalen,58.816667,6.716667,475.0,ug N m-3,monthly
76,concNhno3,CA0015R,Sprucedale,45.423611,-79.485833,350.0,ug N m-3,monthly
77,concNhno3,SK0006R,Starina,49.05,22.266667,345.0,ug N m-3,monthly
78,concNhno3,SK0004R,Stará Lesná,49.15,20.283333,808.0,ug N m-3,monthly
79,concNhno3,CA0022R,Sutton,45.076389,-72.676389,243.0,ug N m-3,monthly
80,concNhno3,NO0047R,Svanvik,69.45,30.033333,30.0,ug N m-3,monthly
81,concNhno3,CZ0001R,Svratouch,49.735084444,16.034196944,735.0,ug N m-3,monthly
82,concNhno3,NO0091R,Søgne,58.116667,7.850001,15.0,ug N m-3,monthly
83,concNhno3,MY1030R,Tanah Rata,4.466667,101.383333,1470.0,ug N m-3,monthly
84,concNhno3,JP1017R,Tappi,41.25,140.35,105.0,ug N m-3,monthly
85,concNhno3,MN1032R,Terelj,47.983333,107.483333,1540.0,ug N m-3,monthly
86,concNhno3,NO0977R,Tjeldbergodden,63.416149,8.758665,90.0,ug N m-3,monthly
87,concNhno3,SK0007R,Topolniky,47.96,17.860556,113.0,ug N m-3,monthly
88,concNhno3,NO0058G,Troll,-72.016667,2.533333,1309.0,ug N m-3,monthly
89,concNhno3,NO0015R,Tustervatn,65.833333,13.916667,439.0,ug N m-3,monthly
90,concNhno3,MN1031U,Ulaanbaatar,47.9,106.816667,1282.0,ug N m-3,monthly
91,concNhno3,FI0009R,Utö,59.779167,21.377222,7.0,ug N m-3,monthly
92,concNhno3,TH1045R,Vachiralongkorn Dam - Khanchanaburi,14.766667,98.583333,170.0,ug N m-3,monthly
93,concNhno3,SE0011R,Vavihill,56.016667,13.15,175.0,ug N m-3,monthly
94,concNhno3,DK0010G,"Villum Research Station, Station Nord",81.6,-16.67,23.0,ug N m-3,monthly
95,concNhno3,FI0017R,Virolahti II,60.526667,27.686111,4.0,ug N m-3,monthly
96,concNhno3,FI0018R,Virolahti III,60.53002,27.66754,7.0,ug N m-3,monthly
97,concNhno3,DE0002R,Waldhof,52.802222,10.759444,77.8,ug N m-3,monthly
98,concNhno3,DE0001R,Westerland,54.925556,8.309722,12.0,ug N m-3,monthly
99,concNhno3,GB0013R,Yarner Wood,50.596389,-3.713056,119.0,ug N m-3,monthly
100,concNhno3,JP1025R,Yusuhara,33.366667,132.933333,790.0,ug N m-3,monthly
101,concNhno3,NO0042G,Zeppelin mountain (Ny-Ålesund),78.90715,11.88668,474.0,ug N m-3,monthly
102,concNhno3,DE0009R,Zingst,54.4368,12.7249,1.0,ug N m-3,monthly
103,concNhno3,FI0037R,Ähtäri II,62.583333,24.183333,180.0,ug N m-3,monthly
