,var,station_id,station_name,latitude,longitude,altitude,unit,freq
0,concso4,GE0001R,Abastumani,41.755053,42.825333,1650.0,ug m-3,monthly
1,concso4,CY0002R,Agia Marina Xyliatou ; Cyprus Atmospheric Observatory,35.0381,33.0578,523.0,ug m-3,monthly
2,concso4,CA0420G,Alert,82.4991455078,-62.3415260315,220.0,ug m-3,monthly
3,concso4,CA0008R,Algoma,47.035,-84.381111,411.0,ug m-3,monthly
4,concso4,GR0001R,Aliartos,38.366667,23.083333,110.0,ug m-3,monthly
5,concso4,AM0001R,Amberd,40.38444444,44.260583333,2080.0,ug m-3,monthly
6,concso4,NO0090R,Andøya,69.278333,16.011666,380.0,ug m-3,monthly
7,concso4,DK0008R,Anholt,56.716667,11.516667,43.0,ug m-3,monthly
8,concso4,SE0012R,Aspvreten,58.8,17.383333,20.0,ug m-3,monthly
9,concso4,GB0048R,Auchencorth Moss,55.79216,-3.2429,260.0,ug m-3,monthly
10,concso4,TH1042U,Bangkok,13.766667,100.533333,2.0,ug m-3,monthly
11,concso4,JP1024U,Banryu,34.683333,131.8,53.0,ug m-3,monthly
12,concso4,ES0011R,Barcarrota,38.47278,-6.92361,393.0,ug m-3,monthly
13,concso4,GB0007R,Barcombe Mills,50.866667,-0.033056,8.0,ug m-3,monthly
14,concso4,CA0079R,Bay dEspoir B,47.9894,-55.818,190.0,ug m-3,monthly
15,concso4,NL0008R,Bilthoven,52.116667,5.2,5.0,ug m-3,monthly
16,concso4,NO0002R;NO0001R,Birkenes II,58.38853,8.252,219.0,ug m-3,monthly
17,concso4,KZ0001R,Borovoe,53.002376,70.610526,334.0,ug m-3,monthly
18,concso4,CA0023R,Bratts Lake,50.202778,-104.204167,600.0,ug m-3,monthly
19,concso4,SE0005R,Bredkälen,63.85,15.333333,404.0,ug m-3,monthly
20,concso4,NO1218R,Brekkebygda,60.3,9.733333,390.0,ug m-3,monthly
21,concso4,DE0005R,Brotjacklriegel,48.819444,13.219167,1016.0,ug m-3,monthly
22,concso4,ES0010R,Cabo de Creus,42.31917,3.31583,76.0,ug m-3,monthly
23,concso4,ES0009R,Campisabalos,41.27417,-3.1425,1360.0,ug m-3,monthly
24,concso4,IE0008R,Carnsore Point,52.178074,-6.364524,13.0,ug m-3,monthly
25,concso4,CA0017R,Chapais,49.822222,-74.976389,381.0,ug m-3,monthly
26,concso4,KR1036R,Cheju,33.3,126.166667,72.0,ug m-3,monthly
27,concso4,GB1055R,Chilbolton Observatory,51.149617,-1.438228,78.0,ug m-3,monthly
28,concso4,SK0002R,Chopok,48.933333,19.583333,2008.0,ug m-3,monthly
29,concso4,CZ0005R,Churanov,49.066667,13.6,1118.0,ug m-3,monthly
30,concso4,TR0001R,Cubuk II,40.5,33.0,1169.0,ug m-3,monthly
31,concso4,RU0018R,Danki,54.9,37.8,150.0,ug m-3,monthly
32,concso4,NL0091R,De Zilk,52.3,4.5,6.0,ug m-3,monthly
33,concso4,DE0004R,Deuselbach,49.764722,7.051944,480.0,ug m-3,monthly
34,concso4,PL0005R,Diabla Gora,54.15,22.066667,159.45,ug m-3,monthly
35,concso4,FR0008R,Donon,48.5,7.133333,775.0,ug m-3,monthly
36,concso4,ES0017R,Doñana,37.05194,-6.55528,35.0,ug m-3,monthly
37,concso4,CA0011R,Egbert,44.231006,-79.783839,255.0,ug m-3,monthly
38,concso4,ES0014R,Els Torms,41.39389,0.73472,470.0,ug m-3,monthly
39,concso4,GB0002R,Eskdalemuir,55.313056,-3.204167,243.0,ug m-3,monthly
40,concso4,CA0002R,Esther,51.666667,-110.2,707.0,ug m-3,monthly
41,concso4,CA0012R,Experimental Lakes Area,49.663889,-93.721111,369.0,ug m-3,monthly
42,concso4,HU0003R,Farkasfa,46.91,16.32,314.0,ug m-3,monthly
43,concso4,GR0002R,Finokalia,35.3377990723,25.6693992615,150.0,ug m-3,monthly
44,concso4,CA0018R,Frelighsburg,45.050278,-72.861667,203.0,ug m-3,monthly
45,concso4,GB0016R,Glen Dye,56.9675,-2.588889,85.0,ug m-3,monthly
46,concso4,SE0020R,Hallahus,56.0429,13.148,190.0,ug m-3,monthly
47,concso4,VN1047U,Hanoi,21.016667,105.85,5.0,ug m-3,monthly
48,concso4,JP1021R,Happo,36.7,137.8,1850.0,ug m-3,monthly
49,concso4,GB0036R,Harwell,51.573056,-1.316667,137.0,ug m-3,monthly
50,concso4,JP1027R,Hedo,26.866667,128.25,60.0,ug m-3,monthly
51,concso4,GB0014R,High Muffles,54.334444,-0.8075,267.0,ug m-3,monthly
52,concso4,VN1048R,Hoa Binh,20.816667,105.333333,23.0,ug m-3,monthly
53,concso4,SE0008R,Hoburgen,56.916667,18.15,58.0,ug m-3,monthly
54,concso4,NO0056R,Hurdal,60.372386,11.078142,300.0,ug m-3,monthly
55,concso4,FI0050R,Hyytiälä,61.85,24.283333,184.0,ug m-3,monthly
56,concso4,JP1022R,Ijira,35.566667,136.683333,140.0,ug m-3,monthly
57,concso4,AT0002R,Illmitz,47.7666664124,16.7666664124,117.0,ug m-3,monthly
58,concso4,IS0002R,Irafoss,64.083333,-21.016667,66.0,ug m-3,monthly
59,concso4,FR0012R,Iraty,43.033333,-1.083333,1300.0,ug m-3,monthly
60,concso4,RU1040U,Irkutsk,52.233333,104.25,400.0,ug m-3,monthly
61,concso4,SI0008R,Iskrba,45.566667,14.866667,525.0,ug m-3,monthly
62,concso4,IT0004R,Ispra,45.8,8.633333,215.5,ug m-3,monthly
63,concso4,RU0001R,Janiskoski,68.933333,28.85,118.0,ug m-3,monthly
64,concso4,PL0002R,Jarczew,51.814408,21.972419,182.24,ug m-3,monthly
65,concso4,CH0001G,Jungfraujoch,46.5475,7.985,3578.0,ug m-3,monthly
66,concso4,HU0002R,K-puszta,46.966667,19.583333,128.0,ug m-3,monthly
67,concso4,NO0055R,Karasjok,69.466667,25.216667,333.0,ug m-3,monthly
68,concso4,CA0006R,Kejimkujik,44.433611,-65.205833,127.0,ug m-3,monthly
69,concso4,DK0005R,Keldsnor,54.746495,10.73616,10.0,ug m-3,monthly
70,concso4,NL0009R,Kollumerwaard,53.333889,6.277222,1.0,ug m-3,monthly
71,concso4,CZ0003R,Kosetice (NOAK),49.573394,15.080278,535.0,ug m-3,monthly
72,concso4,NO0039R,Kårvatn,62.783333,8.883333,210.0,ug m-3,monthly
73,concso4,FR0003R,La Crouzille,46.133333,1.383333,497.0,ug m-3,monthly
74,concso4,FR0005R,La Hague,49.616667,-1.833333,133.0,ug m-3,monthly
75,concso4,FR0015R,La Tardière,46.65,-0.75,133.0,ug m-3,monthly
76,concso4,CA0019R,Lac Edouard,47.681667,-72.442778,243.0,ug m-3,monthly
77,concso4,EE0009R,Lahemaa,59.5,25.9,32.0,ug m-3,monthly
78,concso4,FR0016R,Le Casset,45.0,6.466667,1750.0,ug m-3,monthly
79,concso4,PL0004R,Leba,54.753894,17.534264,5.0,ug m-3,monthly
80,concso4,MD0013R,Leova II,46.4884,28.2835,166.0,ug m-3,monthly
81,concso4,RU0020R,Lesnoy,56.53,32.94,340.0,ug m-3,monthly
82,concso4,SK0005R,Liesek,49.366667,19.683333,892.0,ug m-3,monthly
83,concso4,RU1039R,Listvyanka,51.85,104.9,700.0,ug m-3,monthly
84,concso4,ES0004R,Logroño,42.457778,-2.503056,445.0,ug m-3,monthly
85,concso4,CA0013R,Longwoods,42.884722,-81.480556,239.0,ug m-3,monthly
86,concso4,PH1034R,Los Banos,14.183333,121.25,35.0,ug m-3,monthly
87,concso4,GB0006R,Lough Navar,54.443056,-7.87,126.0,ug m-3,monthly
88,concso4,IE0031R,Mace Head,53.32583,-9.89944,5.0,ug m-3,monthly
89,concso4,TH1046R,Mae Hia - Chiang Mai,18.766667,98.933333,350.0,ug m-3,monthly
90,concso4,ES0006R,Mahón,39.87528,4.31639,78.0,ug m-3,monthly
91,concso4,IE0006R,Malin Head,55.375,-7.342778,24.0,ug m-3,monthly
92,concso4,DE0044R,Melpitz,51.53014,12.93386,86.0,ug m-3,monthly
93,concso4,PH1033U,Metro Manila,14.633333,121.066667,54.0,ug m-3,monthly
94,concso4,RU1038R,Mondy,51.666667,101.0,2000.0,ug m-3,monthly
95,concso4,FR0014R,Montandon,47.3,6.833333,836.0,ug m-3,monthly
96,concso4,IT0001R,Montelibretti,42.1,12.633333,48.0,ug m-3,monthly
